;meta[language=en]
; id      |key(hex)|key(str)| text
2118587230|d6d4ef8a||Other Options
2118587231|1f84cfbb||Import Settings from XML
2118587232|923a179e||When <u><<l option_/TmrckIMM_MenuCategorization l>></u> is off
2118587233|0324c572||Error:<br>Option group "<<optionGroup>>" has insufficient entries. You need to edit the XML to add more entries.
2118587234|cd66c30b||Remove Categorization and Order Settings for Uninstalled Mods
2118587235|0e48d390||No settings to remove have been saved.
2118587236|c9dac50c||Do not display the Menu Organizer menu inside the Mods menu
2118587237|3e5bf898||Mod Version
2118587238|a865d207||Uninstalled mod IDs have been listed from the mod menu’s category and order settings.<br><br>If Menu Organizer becomes extremely slow or an “insufficient entries” error appears, select OK in this menu to remove these IDs. This may improve the issue.
2118587239|7cc660cd||Hide game version
2118587240|29a1ce0f||Hide username
2118587241|9d3faf1b||Don't show sign-in notifications
2118587242|85b03d80||Unable to get username.
2118587243|2f32b451||Error:<br>The XML file for the Menu Organizer options menu is not installed correctly.
2118587244|84716170||Menu Labeling
2118587245|dec37dc9||NEW
2118587246|f9ae7274||SAVE
2118587247|f9ab75dd||LOAD
2118587248|dec35904||DLC
2118587249|afec7fa6||All selected save data will be deleted.<br><br>Are you sure?
2118587250|52f4cc45||Bulk Select (Hold to Deselect)
2118587251|645cf497||Number of selected saves
2118587252|3c34492d||Total
2118587253|6ad7a5b4||DLC Options Organization
2118587254|c984e1f0||Remove Order Settings for Uninstalled DLCs
2118587255|be371782||Uninstalled DLC IDs have been listed from the DLC option order settings.<br><br>If Menu Organizer becomes extremely slow or an “insufficient entries” error appears, select OK in this menu to remove these IDs. This may improve the issue.
2118587256|aa4ea295||You need to return to the main menu.
2118587257|3a27039c||There are no XML files for the mod menu that have categories defined.
2118587258|d695f9f4||There is nothing in the list in IMM_Settings.ws.
2118587259|12d3af20||You can access the Menu Organizer menu by pressing the key shown in the bottom-right corner of the screen.
2118587260|2c841584||Error: <br> Menu Organizer keybinds are not correctly added to the input.settings file.
